,Model,Launch,Code name,Fab (nm),Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,Fillrate,Fillrate.1,Fillrate.2,Fillrate.3,Memory,Memory.1,Memory.2,Memory.3
0,Model,Launch,Code name,Fab (nm),Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,MOperations/s,MPixels/s,MTexels/s,MVertices/s,Size (MiB),Bandwidth (GB/s),Bus type,Bus width (bit)
1,Radeon 9500,"Oct. 24, 2002",R300 (Khan),150,AGP 8x,275,270,4:4:4:4,1100,2200,1100,275,"64, 128","8.64, 17.28",DDR,"128, 256"
2,Radeon 9500 Pro,"Oct. 24, 2002",R300 (Khan),150,AGP 8x,275,270,8:4:8:8,2200,2200,2200,275,128,8.64,DDR,128
3,Radeon 9550,2004,RV350 (Shivah),130,AGP 8x,250,200,4:2:4:4,1000,1000,1000,125,"64, 128, 256",6.4,DDR,128
4,Radeon 9550 SE,2004,RV350 (Shivah),130,AGP 8x,250,200,4:2:4:4,1000,1000,1000,125,"64, 128, 256",3.2,DDR,64
5,Radeon 9600,2003,RV350 (Shivah),130,AGP 8x,325,200,4:2:4:4,1300,1300,1300,162.5,"128, 256",6.4,DDR,128
6,Radeon 9600 Pro,"Mar. 6, 2003",RV350 (Shivah),130,AGP 8x,400,300,4:2:4:4,1600,1600,1600,200,"128, 256",9.6,DDR,128
7,Radeon 9600 SE,2003,RV350 (Shivah),130,AGP 8x,325,200,4:2:4:4,1300,1300,1300,162.5,"64, 128, 256",3.2,DDR,64
8,Radeon 9600 XT,"Sept. 30, 2003",RV360,130,AGP 8x,500,300,4:2:4:4,2000,2000,2000,250,"128, 256",9.6,DDR,128
9,Radeon 9600 TX,2003 (Medion OEM),R300 (Khan),130,AGP 8x,297,270,8:4:8:8,2376,2376,2376,287,128,8.6,DDR,128
10,Radeon 9700 TX,2002 (Dell OEM),R300 (Khan),150,AGP 8x,263,263,8:4:8:8,2104,2104,2104,275,128,16.83,DDR,256
11,Radeon 9700,"Oct. 24, 2002",R300 (Khan),150,AGP 8x,275,270,8:4:8:8,2200,2200,2200,275,128,17.28,DDR,256
12,Radeon 9700 Pro,"July 18, 2002",R300 (Khan),150,AGP 8x,325,310,8:4:8:8,2600,2600,2600,325,128,19.84,DDR,256
13,Radeon 9800,2003,R350,150,AGP 8x,325,310,8:4:8:8,2600,2600,2600,325,128,19.84,DDR,256
14,Radeon 9800 XL,2003,R350,150,AGP 8x,350,310,8:4:8:8,2800,2800,2800,350,128,19.84,DDR,256
15,Radeon 9800 XXL[15],"Oct. 1, 2003",R360,150,AGP 8x,390,338,8:4:8:8,3120,3120,3120,390,128,21.60,DDR,256[15]
16,Radeon 9800 Pro,"Mar. 1, 2003[16]","R350, R360",150,AGP 8x,380,"340, 350",8:4:8:8,3040,3040,3040,380,"128, 256","21.76, 22.40","DDR, GDDR2",256
17,Radeon 9800 SE[17],"Mar. 1, 2003[18]",R350,150,AGP 8x,"325, 380[17]","270, 340[17]",4:4:4:4[18],"1300, 1520[17]","1300, 1520[17]","1300, 1520[17]","325, 380[17]","128, 256","8.64, 21.76[17]",DDR,"128, 2562[17]"
18,Radeon 9800 XT,"Sept. 9, 2003",R360,150,AGP 8x,412,365,8:4:8:8,3296,3296,3296,412,256,23.36,DDR,256
19,Model,Launch,Code name,Fab (nm),Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,MOperations/s,MPixels/s,MTexels/s,MVertices/s,Size (MiB),Bandwidth (GB/s),Bus type,Bus width (bit)
20,Model,Launch,Code name,Fab (nm),Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,Fillrate,Fillrate,Fillrate,Fillrate,Memory,Memory,Memory,Memory
